iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
56,"(8, 11)","(7, 11)",East,"[((9, 11), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(9, 11)']",[56 states],55,0,55
57,"(9, 11)","(8, 11)",East,"[((10, 11), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(10, 11)']",[57 states],56,0,56
58,"(10, 11)","(9, 11)",East,"[((11, 11), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(11, 11)']",[58 states],57,0,57
59,"(11, 11)","(10, 11)",East,"[((11, 10), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(11, 10)']",[59 states],58,0,58
60,"(11, 10)","(11, 11)",South,"[((11, 9), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(11, 9)']",[60 states],59,0,59
61,"(11, 9)","(11, 10)",South,"[((10, 9), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(10, 9)']",[61 states],60,0,60
62,"(10, 9)","(11, 9)",West,"[((9, 9), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(9, 9)']",[62 states],61,0,61
63,"(9, 9)","(10, 9)",West,"[((8, 9), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(8, 9)']",[63 states],62,0,62
64,"(8, 9)","(9, 9)",West,"[((7, 9), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(7, 9)']",[64 states],63,0,63
65,"(7, 9)","(8, 9)",West,"[((7, 8), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(7, 8)']",[65 states],64,0,64
66,"(7, 8)","(7, 9)",South,"[((7, 7), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(7, 7)']",[66 states],65,0,65
67,"(7, 7)","(7, 8)",South,"[((8, 7), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(8, 7)']",[67 states],66,0,66
68,"(8, 7)","(7, 7)",East,"[((9, 7), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(9, 7)']",[68 states],67,0,67
69,"(9, 7)","(8, 7)",East,"[((10, 7), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(10, 7)']",[69 states],68,0,68
70,"(10, 7)","(9, 7)",East,"[((11, 7), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(11, 7)']",[70 states],69,0,69
71,"(11, 7)","(10, 7)",East,"[((12, 7), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(12, 7)']",[71 states],70,0,70
72,"(12, 7)","(11, 7)",East,"[((13, 7), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 7)']",[72 states],71,0,71
73,"(13, 7)","(12, 7)",East,"[((13, 8), 'North')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 8)']",[73 states],72,0,72
74,"(13, 8)","(13, 7)",North,"[((13, 9), 'North')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 9)']",[74 states],73,0,73
75,"(13, 9)","(13, 8)",North,"[((13, 10), 'North')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 10)']",[75 states],74,0,74
76,"(13, 10)","(13, 9)",North,"[((13, 11), 'North')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 11)']",[76 states],75,0,75
77,"(13, 11)","(13, 10)",North,"[((14, 11), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(14, 11)']",[77 states],76,0,76
78,"(14, 11)","(13, 11)",East,"[((15, 11), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(15, 11)']",[78 states],77,0,77
79,"(15, 11)","(14, 11)",East,"[((16, 11), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(16, 11)']",[79 states],78,0,78
