iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
68,"(5, 8)","(5, 9)",South,"[((5, 7), 'South', 32)]","['(4, 9)', '(8, 3)']","['(4, 9)', '(8, 3)', '(5, 7)']",[68 states],31,0,31
69,"(4, 9)","(5, 9)",West,"[((3, 9), 'West', 32)]","['(8, 3)', '(5, 7)']","['(8, 3)', '(5, 7)', '(3, 9)']",[69 states],31,0,31
70,"(8, 3)","(7, 3)",East,"[((9, 3), 'East', 32)]","['(5, 7)', '(3, 9)']","['(5, 7)', '(3, 9)', '(9, 3)']",[70 states],31,0,31
71,"(5, 7)","(5, 8)",South,[],"['(3, 9)', '(9, 3)']","['(3, 9)', '(9, 3)']",[71 states],32,0,32
72,"(3, 9)","(4, 9)",West,"[((2, 9), 'West', 33)]","['(9, 3)']","['(9, 3)', '(2, 9)']",[72 states],32,0,32
73,"(9, 3)","(8, 3)",East,"[((10, 3), 'East', 33)]","['(2, 9)']","['(2, 9)', '(10, 3)']",[73 states],32,0,32
74,"(2, 9)","(3, 9)",West,"[((1, 9), 'West', 34)]","['(10, 3)']","['(10, 3)', '(1, 9)']",[74 states],33,0,33
75,"(10, 3)","(9, 3)",East,"[((11, 3), 'East', 34)]","['(1, 9)']","['(1, 9)', '(11, 3)']",[75 states],33,0,33
76,"(1, 9)","(2, 9)",West,"[((1, 8), 'South', 35)]","['(11, 3)']","['(11, 3)', '(1, 8)']",[76 states],34,0,34
77,"(11, 3)","(10, 3)",East,"[((12, 3), 'East', 35)]","['(1, 8)']","['(1, 8)', '(12, 3)']",[77 states],34,0,34
78,"(1, 8)","(1, 9)",South,"[((1, 7), 'South', 36)]","['(12, 3)']","['(12, 3)', '(1, 7)']",[78 states],35,0,35
79,"(12, 3)","(11, 3)",East,"[((13, 3), 'East', 36)]","['(1, 7)']","['(1, 7)', '(13, 3)']",[79 states],35,0,35
